budget,homepage,id,keywords,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,director,spokenlang,prodcountries,prodcomp
94000000,http://movies.disney.com/finding-nemo,12,father son relationship harbor underwater fish tank great barrier reef,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",85.688789,30/05/2003,940335536,100,Released,Finding Nemo,7.6,6122,Andrew Stanton,English,United States of America,['Pixar Animation Studios']
15000000,http://www.dreamworks.com/ab/,14,male nudity female nudity adultery midlife crisis coming out,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",80.878605,15/09/1999,356296601,122,Released,American Beauty,7.9,3313,Sam Mendes,English,United States of America,"['DreamWorks SKG', 'Jinks/Cohen Company']"
90000000,,18,clone taxi cyborg egypt future,en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",109.528572,07/05/1997,263920180,126,Released,The Fifth Element,7.3,3885,Luc Besson,English,France,"['Columbia Pictures', 'Gaumont']"
90000000,,18,clone taxi cyborg egypt future,en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",109.528572,07/05/1997,263920180,126,Released,The Fifth Element,7.3,3885,Luc Besson, svenska,France,"['Columbia Pictures', 'Gaumont']"
90000000,,18,clone taxi cyborg egypt future,en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",109.528572,07/05/1997,263920180,126,Released,The Fifth Element,7.3,3885,Luc Besson, Deutsch,France,"['Columbia Pictures', 'Gaumont']"
140000000,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22,exotic island blacksmith east india trading company gold marriage proposal,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,09/07/2003,655011224,143,Released,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Gore Verbinski,English,United States of America,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
75000000,http://www.simpsonsmovie.com/,35,father son relationship lake springfield the simpsons duff beer,en,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",46.875375,25/07/2007,527068851,87,Released,The Simpsons Movie,6.9,2264,David Silverman,English,United States of America,"['Gracie Films', 'Twentieth Century Fox Film Corporation']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski,English,Jamaica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski,English, United States of America,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski,English, Bahamas,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski,English, Dominica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, Türkçe,Jamaica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, Türkçe, United States of America,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, Türkçe, Bahamas,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, Türkçe, Dominica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
200000000,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Gore Verbinski, ελληνικά,Jamaica,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
